Fecha;MUESTREO;TRATAMIENTO;NINFAS/BROTE CAMPO;NINFAS PARASITADAS DÍA 6
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;3
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1C;4;1
2019-12-23;MPost1;1C;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;0
2019-12-23;MPost1;1SC;4;1
2019-12-23;MPost1;1SC;4;0
2020-01-28;MPrev2;NA;13;0
2020-01-28;MPrev2;NA;2;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;10;0
2020-01-28;MPrev2;NA;5;0
2020-01-28;MPrev2;NA;7;0
2020-01-28;MPrev2;NA;3;0
2020-01-28;MPrev2;NA;2;0
2020-01-28;MPrev2;NA;1;0
2020-01-28;MPrev2;NA;1;0
2020-01-28;MPrev2;NA;1;0
2020-01-28;MPrev2;NA;7;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;3;0
2020-01-28;MPrev2;NA;1;0
2020-01-28;MPrev2;NA;1;1
2020-01-28;MPrev2;NA;3;0
2020-01-28;MPrev2;NA;6;0
2020-01-28;MPrev2;NA;8;0
2020-01-28;MPrev2;NA;2;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;1;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;3;0
2020-01-28;MPrev2;NA;8;0
2020-01-28;MPrev2;NA;3;0
2020-01-28;MPrev2;NA;0;0
2020-01-28;MPrev2;NA;6;1
